"","country","year","risk_factor","totalcase"
"623","Cambodia",2019,"hiv",1100
"624","Cameroon",2019,"hiv",12000
"625","Canada",2019,"hiv",92
"626","Central African Republic",2019,"hiv",6200
"627","Chad",2019,"hiv",4000
"628","Chile",2019,"hiv",370
"629","China",2019,"hiv",13000
"630","Colombia",2019,"hiv",2100
"631","Comoros",2019,"hiv",1
"632","Congo",2019,"hiv",5600
"633","Costa Rica",2019,"hiv",45
"634","Côte d'Ivoire",2019,"hiv",5900
"635","Croatia",2019,"hiv",3
"636","Cuba",2019,"hiv",78
"637","Cyprus",2019,"hiv",3
"638","Czechia",2019,"hiv",4
"639","Democratic People's Republic of Korea",2019,"hiv",1100
"640","Democratic Republic of the Congo",2019,"hiv",29000
"641","Denmark",2019,"hiv",7
"642","Djibouti",2019,"hiv",62
"643","Dominican Republic",2019,"hiv",1100
"644","Ecuador",2019,"hiv",1100
"645","Egypt",2019,"hiv",120
"646","El Salvador",2019,"hiv",230
"647","Equatorial Guinea",2019,"hiv",560
"648","Eritrea",2019,"hiv",120
"649","Estonia",2019,"hiv",18
"650","Eswatini",2019,"hiv",2100
"651","Ethiopia",2019,"hiv",9600
"652","Fiji",2019,"hiv",40
"653","Finland",2019,"hiv",4
"654","France",2019,"hiv",390
"655","Gabon",2019,"hiv",3500
"656","Gambia",2019,"hiv",640
"657","Georgia",2019,"hiv",50
"658","Germany",2019,"hiv",130
"659","Ghana",2019,"hiv",9300
"660","Greece",2019,"hiv",15
"661","Guatemala",2019,"hiv",550
"662","Guinea",2019,"hiv",5200
"663","Guinea-Bissau",2019,"hiv",2100
"664","Guyana",2019,"hiv",110
"665","Haiti",2019,"hiv",2800
"666","Honduras",2019,"hiv",170
"667","Hungary",2019,"hiv",6
"668","Iceland",2019,"hiv",0
"669","India",2019,"hiv",71000
"670","Indonesia",2019,"hiv",17000
"671","Iran (Islamic Republic of)",2019,"hiv",400
"672","Ireland",2019,"hiv",10
"673","Israel",2019,"hiv",9
"674","Italy",2019,"hiv",240
"675","Jamaica",2019,"hiv",12
"676","Japan",2019,"hiv",100
"677","Jordan",2019,"hiv",0
"678","Kazakhstan",2019,"hiv",690
"679","Kenya",2019,"hiv",34000
"680","Kuwait",2019,"hiv",3
"681","Kyrgyzstan",2019,"hiv",150
"682","Lao People's Democratic Republic",2019,"hiv",610
"683","Latvia",2019,"hiv",34
"684","Lebanon",2019,"hiv",7
"685","Lesotho",2019,"hiv",7500
"686","Liberia",2019,"hiv",2100
"687","Libya",2019,"hiv",43
"688","Lithuania",2019,"hiv",28
"689","Luxembourg",2019,"hiv",0
"690","Madagascar",2019,"hiv",730
"691","Malawi",2019,"hiv",12000
"692","Malaysia",2019,"hiv",1700
"693","Maldives",2019,"hiv",0
"694","Mali",2019,"hiv",980
"695","Malta",2019,"hiv",2
"696","Mauritania",2019,"hiv",110
"697","Mauritius",2019,"hiv",37
"698","Mexico",2019,"hiv",3500
"699","Mongolia",2019,"hiv",15
"700","Montenegro",2019,"hiv",0
"701","Morocco",2019,"hiv",430
"702","Mozambique",2019,"hiv",32000
"703","Myanmar",2019,"hiv",13000
"704","Namibia",2019,"hiv",3200
"705","Nepal",2019,"hiv",450
"706","Netherlands",2019,"hiv",28
"707","New Zealand",2019,"hiv",2
"708","Nicaragua",2019,"hiv",160
"709","Niger",2019,"hiv",710
"710","Nigeria",2019,"hiv",45000
"711","North Macedonia",2019,"hiv",2
"712","Norway",2019,"hiv",8
"713","Oman",2019,"hiv",11
"714","Pakistan",2019,"hiv",4800
"715","Panama",2019,"hiv",230
"716","Papua New Guinea",2019,"hiv",1300
"717","Paraguay",2019,"hiv",270
"718","Peru",2019,"hiv",2400
"719","Philippines",2019,"hiv",12000
"720","Poland",2019,"hiv",82
"721","Portugal",2019,"hiv",200
"722","Qatar",2019,"hiv",1
"723","Republic of Korea",2019,"hiv",300
"724","Republic of Moldova",2019,"hiv",330
"725","Romania",2019,"hiv",230
"726","Russian Federation",2019,"hiv",17000
"727","Rwanda",2019,"hiv",1400
"728","Saudi Arabia",2019,"hiv",73
"729","Senegal",2019,"hiv",950
"730","Serbia",2019,"hiv",3
"731","Sierra Leone",2019,"hiv",2900
"732","Singapore",2019,"hiv",44
"733","Slovakia",2019,"hiv",9
"734","Slovenia",2019,"hiv",1
"735","Somalia",2019,"hiv",350
"736","South Africa",2019,"hiv",187000
"737","Spain",2019,"hiv",330
"738","Sri Lanka",2019,"hiv",8
"739","Sudan",2019,"hiv",630
"740","Suriname",2019,"hiv",44
"741","Sweden",2019,"hiv",13
"742","Switzerland",2019,"hiv",22
